"16828672","16828927","TH","Thailand","Krung Thep Maha Nakhon","Bangkok"
"16828928","16829183","TH","Thailand","Nakhon Si Thammarat","Thung Song"
"16829184","16829439","TH","Thailand","Surat Thani","Surat Thani"
"16829440","16829695","TH","Thailand","Tak","Tak"
"16829696","16829951","TH","Thailand","Nakhon Sawan","Nakhon Sawan"
"16829952","16830207","TH","Thailand","Tak","Tak"
"16830208","16830463","TH","Thailand","Phetchabun","Lom Sak"
"16830464","16830975","TH","Thailand","Ratchaburi","Ratchaburi"
"16830976","16831231","TH","Thailand","Saraburi","Nong Khae"
"16831232","16831487","TH","Thailand","Saraburi","Muak Lek"
"16831488","16831743","TH","Thailand","Ratchaburi","Photharam"
"16831744","16831999","TH","Thailand","Phetchaburi","Tha Yang"
"16832000","16832255","TH","Thailand","Pattani","Pattani"
"16832256","16832511","TH","Thailand","Krung Thep Maha Nakhon","Bangkok"
"16832512","16832767","TH","Thailand","Surat Thani","Ko Samui"
"16832768","16833023","TH","Thailand","Surat Thani","Surat Thani"
"16833024","16833279","TH","Thailand","Surat Thani","Ko Samui"
"16833280","16833535","TH","Thailand","Nakhon Si Thammarat","Lan Saka"
"16833536","16833791","TH","Thailand","Ranong","Kra Buri"
"16833792","16834047","TH","Thailand","Nakhon Si Thammarat","Thung Song"
"16834048","16834559","TH","Thailand","Surat Thani","Ko Samui"
"16834560","16834815","TH","Thailand","Phuket","Phuket"
"16834816","16835327","TH","Thailand","Phuket","Thalang"
"16835328","16835583","TH","Thailand","Phuket","Phuket"
"16835584","16835839","TH","Thailand","Phuket","Thalang"
"16835840","16836095","TH","Thailand","Phuket","Phuket"
"16836096","16836351","TH","Thailand","Phuket","Thalang"
"16836352","16838399","TH","Thailand","Phuket","Phuket"
"16838400","16838655","TH","Thailand","Phuket","Thalang"
"16838656","16838911","TH","Thailand","Phuket","Phuket"
"16838912","16839167","TH","Thailand","Surat Thani","Ko Samui"
"16839168","16839423","TH","Thailand","Satun","Manang"
"16839424","16839679","TH","Thailand","Nakhon Si Thammarat","Na Bon"
"16839680","16839935","TH","Thailand","Surat Thani","Koh Tao"
"16839936","16840447","TH","Thailand","Phuket","Phuket"
"16840448","16840703","TH","Thailand","Krabi","Krabi"
"16840704","16840959","TH","Thailand","Narathiwat","Waeng"
"16840960","16841215","TH","Thailand","Narathiwat","Narathiwat"
"16841216","16841471","TH","Thailand","Phuket","Thalang"
"16841472","16841727","TH","Thailand","Phuket","Phuket"
"16841728","16841983","TH","Thailand","Narathiwat","Waeng"
"16841984","16842239","TH","Thailand","Songkhla","Hat Yai"
"16842240","16842751","TH","Thailand","Narathiwat","Narathiwat"
"16842752","16843007","CN","China","Fujian","Fuzhou"
"16843008","16843263","AU","Australia","Queensland","Brisbane"
"16843264","16844799","CN","China","Fujian","Fuzhou"
"16844800","16845055","CN","China","Shanghai","Shanghai"
"16845056","16859135","CN","China","Guangdong","Guangzhou"
"16859136","16875519","JP","Japan","Tokyo","Tokyo"
"16875520","16875775","TH","Thailand","Roi Et","Moeiwadi"
"16875776","16876031","TH","Thailand","Roi Et","Phanom Phrai"
"16876032","16876287","TH","Thailand","Udon Thani","Ban Phue"
"16876288","16876799","TH","Thailand","Loei","Loei"
"16876800","16877055","TH","Thailand","Khon Kaen","Khon Kaen"
"16877056","16877567","TH","Thailand","Sakon Nakhon","Sakon Nakhon"
"16877568","16877823","TH","Thailand","Nakhon Phanom","Pla Pak"
"16877824","16878079","TH","Thailand","Nakhon Phanom","Ban Phaeng"
"16878080","16878335","TH","Thailand","Nakhon Phanom","Si Songkhram"
"16878336","16878591","TH","Thailand","Nakhon Phanom","Nakhon Phanom"
"16878592","16878847","TH","Thailand","Phatthalung","Phatthalung"
"16878848","16879103","TH","Thailand","Yasothon","Yasothon"
"16879104","16879359","TH","Thailand","Maha Sarakham","Wapi Pathum"
"16879360","16879615","TH","Thailand","Sukhothai","Si Samrong"
"16879616","16879871","TH","Thailand","Khon Kaen","Khon Kaen"
"16879872","16880127","TH","Thailand","Nong Khai","Tha Bo"
"16880128","16880383","TH","Thailand","Nong Khai","Seka"
