"18147276","18147276","PUB","TH","Thailand"
"18149416","18149416","PUB","TH","Thailand"
"18149565","18149565","PUB","TH","Thailand"
"18150687","18150687","PUB","TH","Thailand"
"18153274","18153274","PUB","TH","Thailand"
"18153395","18153395","PUB","TH","Thailand"
"18278109","18278109","PUB","IN","India"
"18305608","18305608","PUB","IN","India"
"18404397","18404397","PUB","CN","China"
"18404948","18404948","PUB","CN","China"
"18405355","18405355","PUB","CN","China"
"18452929","18452929","PUB","CN","China"
"18747206","18747206","PUB","CN","China"
"18756647","18756647","PUB","CN","China"
"18791583","18791583","PUB","CN","China"
"18792369","18792369","PUB","CN","China"
"18801783","18801783","PUB","CN","China"
"18874433","18874433","PUB","MY","Malaysia"
"18875148","18875148","PUB","MY","Malaysia"
"18875489","18875489","PUB","MY","Malaysia"
"18875980","18875980","PUB","MY","Malaysia"
"18876997","18876997","PUB","MY","Malaysia"
"18877157","18877157","PUB","MY","Malaysia"
"18877190","18877190","PUB","MY","Malaysia"
"18879264","18879264","PUB","MY","Malaysia"
"18879567","18879567","PUB","MY","Malaysia"
"18880553","18880553","PUB","MY","Malaysia"
"18881293","18881293","PUB","MY","Malaysia"
"18885132","18885132","PUB","MY","Malaysia"
"18885311","18885311","PUB","MY","Malaysia"
"18885597","18885597","PUB","MY","Malaysia"
"18885960","18885960","PUB","MY","Malaysia"
"18886524","18886524","PUB","MY","Malaysia"
"18887802","18887802","PUB","MY","Malaysia"
"18887841","18887841","PUB","MY","Malaysia"
"18895778","18895778","PUB","MY","Malaysia"
"18897070","18897070","PUB","MY","Malaysia"
"18897412","18897412","PUB","MY","Malaysia"
"18898006","18898006","PUB","MY","Malaysia"
"18898106","18898106","PUB","MY","Malaysia"
"18900136","18900136","PUB","MY","Malaysia"
"18901135","18901135","PUB","MY","Malaysia"
"18905679","18905679","PUB","MY","Malaysia"
"18925691","18925691","PUB","SG","Singapore"
"19021585","19021585","PUB","TW","Taiwan, Province of China"
"19042666","19042666","PUB","TW","Taiwan, Province of China"
"19048026","19048026","PUB","TW","Taiwan, Province of China"
"19053094","19053094","PUB","TW","Taiwan, Province of China"
"19053188","19053188","PUB","TW","Taiwan, Province of China"
"19061322","19061322","PUB","TW","Taiwan, Province of China"
"19062000","19062000","PUB","TW","Taiwan, Province of China"
"19062283","19062283","PUB","TW","Taiwan, Province of China"
"19062757","19062757","PUB","TW","Taiwan, Province of China"
"19140369","19140369","PUB","HK","Hong Kong"
"19166367","19166367","PUB","HK","Hong Kong"
"19193314","19193314","PUB","HK","Hong Kong"
"19193656","19193656","PUB","HK","Hong Kong"
"19453761","19453761","PUB","AU","Australia"
"19477904","19477904","PUB","AU","Australia"
"19589160","19589160","PUB","AU","Australia"
"20015500","20015500","PUB","CN","China"
"20018899","20018899","PUB","CN","China"
"20020731","20020731","PUB","CN","China"
"20170018","20170018","PUB","CN","China"
"20178830","20178830","PUB","CN","China"
"20224541","20224541","PUB","VN","Viet Nam"
"20253151","20253151","PUB","VN","Viet Nam"
"20256571","20256571","PUB","VN","Viet Nam"
"20269307","20269307","PUB","VN","Viet Nam"
"20380170","20380170","PUB","VN","Viet Nam"
"20383639","20383639","PUB","VN","Viet Nam"
"20401290","20401290","PUB","VN","Viet Nam"
"20401294","20401294","PUB","VN","Viet Nam"
"20405330","20405330","PUB","VN","Viet Nam"
