#fields	indicator	indicator_type	meta.source	meta.do_notice
www.quizeer.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
healthwisenomad.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
rolkom.eu	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
obala.edu.ba	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.ferdinandamariette.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.computer-qo4.stream	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.supportme.help	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.bankofamerica-com-login-working-sys-work.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.bobbchrysler.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.foodintour.it	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.whatisfinsbury.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
zancollor.com.br	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
pc-failure-335j5hq.info	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.issue-05ud5.stream	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
issue-lz10.stream	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.microsystems-sa.com	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
msexhcsrv.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
178.17.170.196	Intel::ADDR	from Known Tor Exit Nodes (https://www.dan.me.uk) via intel.criticalstack.com	F
fastfixwindowserror.com	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
oyounlibya.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
pre.c1l.us	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
ultimateapartmentguide.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.find-ios-apple.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.funcoin.ru	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
offcldbn.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
instagramturktakipciler.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.apple-lphone.win	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.pctechfixus.com	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.securewebsupport.com	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
www.windowssecurityerror.info	Intel::DOMAIN	from hosts-file.net Fraud Domains (http://hosts-file.net/) via intel.criticalstack.com	F
traffservhosterseo.com	Intel::DOMAIN	from hosts-file.net Phishing Domains (http://hosts-file.net/) via intel.criticalstack.com	F
